Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,2,214,Irvin, Cole,608344,2022,17.4,4.6,10.0,7.1,21.7,26.9,30.6,3.7,,OAK,608344.0,87
1,3,236,Blackburn, Paul,621112,2022,19.1,6.4,7.0,3.8,28.6,21.3,34.7,4.1,,OAK,621112.0,84
2,14,555,Kaprielian, James,621076,2022,16.1,11.2,8.3,7.4,22.2,31.1,27.1,3.7,,OAK,621076.0,83
3,13,523,Oller, Adam,670124,2022,13.2,11.2,9.7,8.0,22.1,34.1,22.6,3.5,,OAK,670124.0,84
4,8,362,Logue, Zach,656657,2022,17.2,7.7,12.2,8.5,19.5,32.9,21.3,5.5,,OAK,656657.0,84
