Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,13,505,Skubal, Tarik,669373,2022,24.5,6.7,5.5,5.5,25.7,25.7,33.0,3.7,,DET,669373.0,91
1,2,106,Hutchison, Drew,571800,2022,14.7,10.1,8.3,6.1,26.1,25.7,31.3,2.2,,DET,571800.0,80
2,15,577,Brieske, Beau,689225,2022,15.9,7.4,10.4,6.2,26.6,28.2,24.7,3.5,,DET,689225.0,86
3,3,146,Rodriguez, Eduardo,593958,2022,19.1,10.7,7.3,5.3,23.8,29.8,27.2,6.0,,DET,593958.0,83
4,10,351,Faedo, Alex,656412,2022,18.0,10.2,9.8,8.6,28.2,31.6,20.1,1.7,,DET,656412.0,81
