,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,9,182,Nimmo, Brandon,607043,2022,16.7,9.8,7.4,2.9,26.9,20.2,37.2,4.8,28.7,,NYM,607043.0,OF,1.0566994839512496
1,1,37,Marte, Starling,516782,2022,19.2,5.2,6.6,7.1,26.0,17.1,38.6,4.6,28.0,,NYM,516782.0,OF,1.0309263258060972
2,6,146,Lindor, Francisco,596019,2022,19.0,9.5,8.4,6.6,21.7,27.3,31.9,3.8,27.6,,NYM,596019.0,SS,1.0161988068660102
3,12,233,Alonso, Pete,624413,2022,19.7,9.2,12.5,5.8,23.9,29.4,23.3,5.0,25.6,,NYM,624413.0,1B,0.9425612121655746
4,3,103,Naquin, Tyler,571980,2022,26.8,6.1,10.5,6.4,25.0,27.3,23.8,5.8,28.0,,NYM,571980.0,OF,1.0309263258060972
5,15,292,McNeil, Jeff,643446,2022,12.4,6.3,2.5,4.8,30.2,27.1,31.6,3.7,27.3,,NYM,643446.0,2B,1.0051531676609449
6,5,119,Canha, Mark,592192,2022,17.8,9.9,4.0,6.9,24.3,24.6,35.9,3.6,27.5,,NYM,592192.0,OF,1.0125169271309884
7,0,26,Escobar, Eduardo,500871,2022,24.5,6.8,7.8,9.6,23.0,35.1,21.6,2.8,27.7,,NYM,500871.0,2B,1.019880686601032
8,11,216,Nido, Tomas,621512,2022,25.3,5.2,4.1,7.6,23.8,15.1,36.0,12.2,25.6,,NYM,621512.0,C,0.9425612121655746
