,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,6,187,Bregman, Alex,608324,2022,12.3,12.9,7.8,8.6,24.8,31.9,23.5,3.1,26.4,,HOU,608324.0,3B,0.9720162500457488
1,4,34,Altuve, Jose,514888,2022,14.6,10.6,8.1,6.6,21.7,26.0,29.2,7.8,27.8,,HOU,514888.0,2B,1.0235625663360537
2,3,24,Gurriel, Yuli,493329,2022,12.9,5.4,2.1,4.8,23.6,33.2,33.0,2.4,27.0,,HOU,493329.0,1B,0.9941075284558795
3,12,454,Alvarez, Yordan,670541,2022,19.5,14.2,19.7,7.1,24.7,17.6,29.5,1.0,26.5,,HOU,670541.0,OF,0.9756981297807706
4,10,363,Tucker, Kyle,663656,2022,15.8,10.5,10.3,9.7,22.3,31.2,24.1,2.0,26.6,,HOU,663656.0,OF,0.9793800095157924
5,7,267,Mancini III, Trey,641820,2022,22.7,8.1,10.4,10.7,23.7,23.3,29.3,2.2,25.6,,HOU,641820.0,1B,0.9425612121655746
6,11,397,Pena, Jeremy,665161,2022,24.8,4.5,9.2,5.8,23.9,20.5,34.5,5.8,29.3,,HOU,665161.0,SS,1.0787907623613804
7,14,477,McCormick, Chas,676801,2022,25.1,11.4,12.1,4.0,22.6,27.1,31.2,3.0,28.6,,HOU,676801.0,OF,1.053017604216228
8,5,74,Vazquez, Christian,543877,2022,15.9,5.6,5.7,3.2,29.0,23.7,36.9,1.1,25.6,,HOU,543877.0,C,0.9425612121655746
