Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,3,109,Mikolas, Miles,571945,2022,18.5,4.4,6.4,6.8,23.1,24.1,34.6,4.4,,STL,571945.0,97
1,0,0,Wainwright, Adam,425794,2022,19.7,6.7,7.3,6.9,25.3,23.8,32.6,3.9,,STL,425794.0,100
2,1,31,Quintana, Jose,500779,2022,20.1,7.8,6.8,6.0,26.5,21.0,33.8,5.5,,STL,500779.0,86
3,2,108,Matz, Steven,571927,2022,27.4,4.8,10.5,4.0,27.4,28.2,28.2,1.6,,STL,571927.0,85
4,8,295,Hudson, Dakota,641712,2022,13.7,10.7,6.3,5.3,25.7,18.8,39.9,4.0,,STL,641712.0,85
