Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,10,333,Alcantara, Sandy,645261,2022,23.2,6.4,5.4,5.4,20.2,20.8,41.6,6.0,,MIA,645261.0,102
1,14,472,Luzardo, Jesus,666200,2022,29.4,9.8,6.3,5.6,25.9,26.6,31.5,3.5,,MIA,666200.0,89
2,7,284,Lopez, Pablo,641154,2022,23.7,7.3,9.3,4.6,23.7,23.4,34.7,4.1,,MIA,641154.0,91
3,13,468,Garrett, Braxton,666129,2022,24.5,5.9,7.2,6.2,24.2,21.1,36.1,4.6,,MIA,666129.0,86
4,12,466,Cabrera, Edward,665795,2022,28.1,12.4,4.6,2.3,18.4,27.6,39.1,8.0,,MIA,665795.0,94
