,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,14,344,Acuna Jr., Ronald,660670,2022,22.9,10.9,12.5,5.3,20.9,19.8,33.8,6.5,28.6,,ATL,660670.0,DH,1.053017604216228
1,9,205,Swanson, Dansby,621020,2022,26.3,7.3,10.2,8.3,28.5,25.8,24.9,2.2,28.6,,ATL,621020.0,SS,1.053017604216228
2,16,357,Riley, Austin,663586,2022,23.6,7.6,16.4,8.5,21.4,24.7,26.8,1.9,27.6,,ATL,663586.0,3B,1.0161988068660102
3,10,220,Olson, Matt,621566,2022,23.1,10.8,13.3,7.3,23.3,26.3,27.4,2.2,26.3,,ATL,621566.0,1B,0.9683343703107271
4,2,39,d'Arnaud, Travis,518595,2022,20.0,4.8,7.9,5.8,22.9,25.0,32.1,5.8,26.1,,ATL,518595.0,C,0.9609706108406836
5,13,295,Albies, Ozzie,645277,2022,17.5,5.7,5.5,7.0,23.5,33.0,28.5,2.5,27.4,,ATL,645277.0,2B,1.0088350473959664
6,17,462,Harris II, Michael,671739,2022,26.3,4.9,11.6,5.8,22.7,10.6,41.1,7.7,29.3,,ATL,671739.0,CF,1.0787907623613804
7,3,54,Ozuna, Marcell,542303,2022,24.2,6.0,13.5,3.5,21.5,30.1,26.6,4.2,26.6,,ATL,542303.0,LF,0.9793800095157924
8,6,139,Duvall, Adam,594807,2022,32.1,6.7,12.8,7.4,21.3,35.1,19.7,3.7,27.9,,ATL,594807.0,RF,1.0272444460710755
