,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,12,358,Madrigal, Nick,663611,2022,12.5,5.7,0.0,1.9,24.0,15.6,51.3,3.9,27.3,,CHC,663611.0,2B,1.0051531676609449
1,5,116,Contreras, Willson,575929,2022,21.6,9.3,10.0,8.2,21.6,17.2,35.1,5.8,27.6,,CHC,575929.0,C,1.0161988068660102
2,14,376,Happ, Ian,664023,2022,23.3,9.5,6.9,6.0,25.1,22.1,36.1,3.0,27.9,,CHC,664023.0,LF,1.0272444460710755
3,16,470,Suzuki, Seiya,673548,2022,24.9,9.5,9.7,5.8,21.7,29.2,28.8,3.1,28.3,,CHC,673548.0,RF,1.0419719650111625
4,7,218,Wisdom, Patrick,621550,2022,33.5,10.8,14.8,6.3,16.0,32.4,24.6,4.3,27.6,,CHC,621550.0,3B,1.0161988068660102
5,2,56,Ortega, Rafael,542364,2022,19.3,12.2,4.4,5.7,26.0,33.5,26.4,3.5,26.9,,CHC,542364.0,DH,0.9904256487208576
6,11,356,Hoerner, Nico,663538,2022,11.3,5.9,2.3,4.3,27.6,23.3,36.5,4.0,29.0,,CHC,663538.0,SS,1.067745123156315
7,15,416,Morel, Christopher,666624,2022,30.9,8.1,12.4,6.0,21.9,15.4,35.8,6.5,28.9,,CHC,666624.0,CF,1.064063243421293
8,10,324,McKinstry, Zach,656716,2022,27.3,7.8,2.0,6.0,32.0,28.0,30.0,2.0,28.3,,CHC,656716.0,1B,1.0419719650111625
