,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,8,305,Arraez, Luis,650333,2022,7.4,9.5,3.6,5.1,29.2,25.9,34.4,1.5,26.9,,MIN,650333.0,2B,0.9904256487208576
1,5,208,Correa, Carlos,621043,2022,20.4,10.8,10.7,6.4,23.8,23.2,32.2,3.7,26.9,,MIN,621043.0,SS,0.9904256487208576
2,6,211,Buxton, Byron,621439,2022,30.4,8.9,16.4,7.1,18.7,31.6,23.6,2.7,29.1,,MIN,621439.0,OF,1.0714270028913369
3,0,92,Urshela, Gio,570482,2022,17.0,6.3,7.8,8.2,25.5,24.5,29.7,3.3,25.6,,MIN,570482.0,SS,0.9425612121655746
4,1,136,Polanco, Jorge,593871,2022,21.3,14.4,10.2,6.3,25.7,33.8,19.4,4.2,28.2,,MIN,593871.0,SS,1.0382900852761408
5,4,153,Kepler, Max,596146,2022,14.9,11.5,7.1,5.1,26.0,24.7,33.4,3.4,27.9,,MIN,596146.0,OF,1.0272444460710755
6,7,238,Gordon, Nick,624503,2022,24.6,4.6,11.4,8.1,27.5,18.5,31.8,2.8,28.0,,MIN,624503.0,OF,1.0309263258060972
7,3,152,Sanchez, Gary,596142,2022,27.8,7.7,14.9,5.0,19.5,27.6,24.9,8.1,25.0,,MIN,596142.0,C,0.920469933755444
8,11,398,Celestino, Gilberto,665482,2022,22.7,7.4,3.2,5.1,25.3,12.7,46.2,7.6,27.7,,MIN,665482.0,OF,1.019880686601032
