Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,13,348,Cease, Dylan,656302,2022,31.8,10.7,6.7,5.8,21.4,31.5,28.7,4.9,,CHW,656302.0,97
1,1,18,Lynn, Lance,458681,2022,25.2,4.0,8.8,6.6,24.2,25.6,30.0,4.8,,CHW,458681.0,95
2,0,16,Cueto, Johnny,456501,2022,15.4,5.4,6.6,5.9,23.8,26.3,30.9,5.9,,CHW,456501.0,97
3,8,213,Giolito, Lucas,608337,2022,25.3,8.6,7.4,6.0,27.3,26.7,28.1,4.5,,CHW,608337.0,91
4,14,360,Kopech, Michael,656629,2022,21.4,12.0,8.6,6.3,19.9,35.4,25.5,4.0,,CHW,656629.0,81
