,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,10,328,Schwarber, Kyle,656941,2022,30.8,12.3,21.2,8.6,15.8,26.4,22.3,5.5,26.3,,PHI,656941.0,OF,0.9683343703107271
1,9,320,Hoskins, Rhys,656555,2022,24.3,11.5,11.8,5.9,25.0,29.1,25.3,2.6,25.8,,PHI,656555.0,1B,0.9499249716356182
2,12,388,Bohm, Alec,664761,2022,18.8,4.9,6.5,6.8,31.1,20.2,33.0,2.5,27.1,,PHI,664761.0,3B,0.9977894081909013
3,3,85,Harper, Bryce,547180,2022,18.4,9.9,14.0,7.5,30.0,19.5,25.5,3.0,27.7,,PHI,547180.0,OF,1.019880686601032
4,5,128,Realmuto, J.T.,592663,2022,21.2,7.3,9.5,7.6,26.6,24.0,28.9,3.0,28.7,,PHI,592663.0,C,1.0566994839512496
5,4,121,Castellanos, Nick,592206,2022,23.2,5.1,6.7,5.9,26.8,27.9,28.4,3.8,27.6,,PHI,592206.0,OF,1.0161988068660102
6,0,36,Segura, Jean,516416,2022,14.2,6.5,5.0,5.0,23.4,18.4,43.3,3.5,27.6,,PHI,516416.0,2B,1.0161988068660102
7,1,76,Gregorius, Didi,544369,2022,15.5,5.6,2.8,5.0,25.6,31.1,30.0,5.0,27.3,,PHI,544369.0,SS,1.0051531676609449
8,11,370,Vierling, Matt,663837,2022,22.0,7.7,6.1,7.8,27.8,23.9,33.9,0.6,29.7,,PHI,663837.0,OF,1.0935182813014674
