Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,13,427,McClanahan, Shane,663556,2022,32.5,5.4,6.1,5.5,24.1,19.2,41.9,2.9,,TB,663556.0,90
1,11,373,Rasmussen, Drew,656876,2022,22.2,6.1,6.3,6.0,28.3,21.9,33.7,2.9,,TB,656876.0,80
2,5,187,Springs, Jeffrey,605488,2022,27.0,5.6,6.6,7.7,28.8,24.1,26.6,5.8,,TB,605488.0,82
3,0,7,Kluber, Corey,446372,2022,21.3,3.4,6.6,7.1,27.2,27.9,25.4,5.8,,TB,446372.0,80
4,9,345,Beeks, Jalen,656222,2022,28.1,8.6,8.0,6.5,23.9,20.3,37.0,4.3,,TB,656222.0,29
