,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,8,325,Mullins II, Cedric,656775,2022,17.6,7.3,4.8,6.1,24.0,30.6,28.6,5.1,28.5,,BAL,656775.0,CF,1.049335724481206
1,11,428,Rutschman, Adley,668939,2022,16.7,13.9,7.7,8.1,24.4,26.2,29.4,4.1,27.3,,BAL,668939.0,C,1.0051531676609449
2,7,232,Santander, Anthony,623993,2022,18.1,8.3,10.3,7.3,23.7,31.3,23.7,3.6,26.3,,BAL,623993.0,DH,0.9683343703107271
3,9,360,Mountcastle, Ryan,663624,2022,25.5,6.2,13.4,4.4,26.9,24.7,28.1,1.6,27.5,,BAL,663624.0,1B,1.0125169271309884
4,12,448,Hays, Austin,669720,2022,20.3,5.6,6.5,7.1,24.1,23.5,34.5,3.6,27.8,,BAL,669720.0,RF,1.0235625663360537
5,10,361,McKenna, Ryan,663630,2022,33.8,6.2,10.6,4.7,22.4,23.5,31.8,5.9,29.5,,BAL,663630.0,LF,1.086154521831424
6,3,161,Urias, Ramon,602104,2022,21.9,5.6,9.3,6.2,24.4,20.5,34.9,3.9,26.6,,BAL,602104.0,3B,0.9793800095157924
7,2,147,Odor, Rougned,596059,2022,23.5,7.2,6.8,6.4,21.1,36.6,24.2,4.5,27.0,,BAL,596059.0,2B,0.9941075284558795
8,6,227,Mateo, Jorge,622761,2022,28.3,5.0,6.9,4.3,25.7,28.3,29.7,4.7,30.2,,BAL,622761.0,SS,1.1119276799765763
