Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,3,51,Kelly, Merrill,518876,2022,21.4,7.6,7.0,4.5,20.4,28.5,35.7,3.6,,ARI,518876.0,93
1,2,47,Bumgarner, Madison,518516,2022,16.6,7.4,9.2,7.3,27.1,27.8,23.9,4.8,,ARI,518516.0,90
2,12,487,Gallen, Zac,668678,2022,25.2,6.9,7.8,4.2,24.2,23.1,36.9,3.9,,ARI,668678.0,93
3,6,176,Davies, Zach,605200,2022,17.6,8.5,7.3,4.5,24.0,26.8,30.0,7.3,,ARI,605200.0,85
4,13,542,Henry, Tommy,674072,2022,16.4,10.3,7.2,10.8,20.5,25.3,31.3,4.8,,ARI,674072.0,89
