Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,2,119,Stroman, Marcus,573186,2022,20.9,6.7,7.2,5.9,26.2,17.2,40.3,3.1,,CHC,573186.0,86
1,12,377,Steele, Justin,657006,2022,24.6,9.8,3.9,4.8,28.6,20.8,36.1,4.8,,CHC,657006.0,85
2,1,74,Hendricks, Kyle,543294,2022,18.5,6.7,9.9,8.0,23.3,25.2,26.7,6.1,,CHC,543294.0,84
3,4,133,Smyly, Drew,592767,2022,19.6,5.4,8.3,6.5,22.8,27.9,25.0,5.8,,CHC,592767.0,84
4,9,274,Thompson, Keegan,624522,2022,20.5,8.3,8.8,5.2,23.5,29.0,28.7,3.6,,CHC,624522.0,78
