,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,5,215,Ward, Taylor,621493,2022,23.0,11.5,12.3,7.2,24.6,24.3,26.4,4.3,28.4,,LAA,621493.0,OF,1.0456538447461843
1,3,82,Trout, Mike,545361,2022,29.8,11.4,20.4,7.8,20.9,33.0,14.1,3.9,29.5,,LAA,545361.0,OF,1.086154521831424
2,12,340,Ohtani, Shohei,660271,2022,24.3,12.0,17.0,5.2,23.4,20.4,30.4,3.3,28.3,,LAA,660271.0,P,1.0419719650111625
3,10,312,Rengifo, Luis,650859,2022,15.9,3.6,4.2,6.3,24.8,25.9,33.9,4.9,27.9,,LAA,650859.0,SS,1.0272444460710755
4,14,396,Walsh, Jared,665120,2022,30.4,5.9,9.5,6.0,24.6,22.5,33.3,4.2,25.9,,LAA,665120.0,1B,0.9536068513706398
5,13,380,Fletcher, David,664058,2022,5.4,4.7,0.0,0.8,34.8,28.8,29.5,5.3,26.0,,LAA,664058.0,SS,0.9572887311056617
6,16,411,Adell, Jo,666176,2022,37.1,4.9,11.3,4.3,22.6,25.2,31.3,5.2,29.8,,LAA,666176.0,OF,1.0972001610364892
7,2,81,Stassi, Max,545358,2022,29.5,10.5,9.6,4.3,18.1,22.3,42.6,2.7,25.6,,LAA,545358.0,C,0.9425612121655746
8,1,70,Rendon, Anthony,543685,2022,17.0,12.2,8.3,6.8,22.7,32.6,26.5,1.5,26.2,,LAA,543685.0,3B,0.9646524905757052
