Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,5,166,Pivetta, Nick,601713,2022,23.1,8.5,8.4,10.6,22.2,26.6,28.8,3.0,,BOS,601713.0,94
1,0,8,Hill, Rich,448179,2022,19.7,6.7,8.1,4.0,23.8,28.6,31.1,3.7,,BOS,448179.0,74
2,2,70,Eovaldi, Nathan,543135,2022,22.7,4.3,11.0,7.5,24.0,19.5,30.8,6.5,,BOS,543135.0,89
3,6,216,Wacha, Michael,608379,2022,19.5,7.1,7.0,6.2,22.6,28.8,29.6,4.3,,BOS,608379.0,85
4,13,557,Crawford, Kutter,676710,2022,23.0,8.0,8.4,8.4,26.6,30.4,20.6,5.6,,BOS,676710.0,83
