Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,7,212,Fried, Max,608331,2022,23.0,4.3,3.6,7.1,23.0,19.6,38.7,6.6,,ATL,608331.0,95
1,1,9,Morton, Charlie,450203,2022,28.6,8.5,9.3,6.2,23.4,26.5,29.3,4.8,,ATL,450203.0,94
2,10,382,Wright, Kyle,657140,2022,24.0,6.8,7.4,5.9,24.4,17.7,38.7,4.7,,ATL,657140.0,90
3,12,543,Strider, Spencer,675911,2022,36.7,8.8,6.5,6.1,25.5,27.3,30.7,3.9,,ATL,675911.0,91
4,4,80,Odorizzi, Jake,543606,2022,18.3,6.9,6.5,5.7,25.9,36.4,21.5,4.0,,ATL,543606.0,82

