Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,9,436,Singer, Brady,663903,2022,25.6,6.2,8.9,4.2,25.6,22.0,33.9,4.2,,KC,663903.0,95
1,7,431,Lynch, Daniel,663738,2022,20.7,9.2,8.6,6.2,27.1,25.8,28.0,4.0,,KC,663738.0,90
2,0,1,Greinke, Zack,425844,2022,13.7,4.5,7.6,8.9,27.4,21.6,32.9,1.6,,KC,425844.0,87
3,5,298,Keller, Brad,641745,2022,16.0,8.7,6.3,5.3,24.0,19.9,40.9,3.6,,KC,641745.0,88
4,6,423,Bubic, Kris,663460,2022,18.3,10.8,8.1,8.1,30.2,20.9,26.8,5.6,,KC,663460.0,82
