,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,10,260,Fraley, Jake,641584,2022,19.3,11.1,7.5,5.4,23.7,26.9,31.2,4.3,27.9,,CIN,641584.0,LF,1.0272444460710755
1,11,365,India, Jonathan,663697,2022,23.0,5.2,4.0,5.1,27.3,31.3,27.3,5.1,27.9,,CIN,663697.0,2B,1.0272444460710755
2,6,96,Farmer, Kyle,571657,2022,16.5,6.0,4.3,7.1,28.1,20.4,31.2,7.7,26.9,,CIN,571657.0,SS,0.9904256487208576
3,1,17,Votto, Joey,458015,2022,25.8,11.7,11.1,3.1,24.4,26.2,30.7,3.1,25.3,,CIN,458015.0,1B,0.9315155729605094
4,0,13,Solano, Donovan,456781,2022,19.7,6.1,7.0,7.7,33.6,17.5,28.0,4.2,25.9,,CIN,456781.0,3B,0.9536068513706398
5,13,434,Senzel, Nick,669222,2022,19.1,6.6,3.7,4.5,29.3,25.2,31.3,5.3,28.5,,CIN,669222.0,CF,1.049335724481206
6,2,45,Moustakas, Mike,519058,2022,26.3,8.4,6.1,5.6,22.8,36.7,25.6,3.3,25.0,,CIN,519058.0,DH,0.920469933755444
7,12,372,Stephenson, Tyler,663886,2022,25.7,6.6,6.6,7.4,29.8,19.0,33.1,4.1,26.5,,CIN,663886.0,C,0.9756981297807706
8,9,176,Aquino, Aristides,606157,2022,42.2,5.4,8.0,2.3,16.1,27.6,29.9,11.5,28.9,,CIN,606157.0,RF,1.064063243421293
