,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,8,269,McMahon, Ryan,641857,2022,25.7,10.9,9.0,7.7,28.4,21.1,28.8,4.7,26.0,,COL,641857.0,2B,0.9572887311056617
1,13,374,Rodgers, Brendan,663898,2022,17.1,7.2,7.5,5.3,26.2,17.6,38.8,4.0,26.7,,COL,663898.0,SS,0.9830618892508141
2,0,9,Blackmon, Charlie,453568,2022,17.9,5.6,5.2,3.6,27.1,24.1,32.9,6.6,27.9,,COL,453568.0,OF,1.0272444460710755
3,1,60,Cron, C.J.,543068,2022,25.9,6.4,10.6,5.3,26.4,26.1,27.9,3.5,25.4,,COL,543068.0,1B,0.935197452695531
4,4,117,Iglesias, Jose,578428,2022,11.4,3.7,0.6,2.5,29.6,20.0,41.1,5.6,28.5,,COL,578428.0,SS,1.049335724481206
5,2,79,Grichuk, Randal,545341,2022,23.9,4.7,5.7,7.0,20.7,22.0,39.3,4.3,28.0,,COL,545341.0,OF,1.0309263258060972
6,3,88,Diaz, Elias,553869,2022,19.7,7.5,6.1,5.7,22.2,25.9,35.4,2.4,26.1,,COL,553869.0,C,0.9609706108406836
7,9,319,Hilliard, Sam,656541,2022,28.6,11.2,9.4,9.4,18.8,26.5,33.3,2.6,28.7,,COL,656541.0,OF,1.0566994839512496
8,5,118,Bryant, Kris,592178,2022,14.9,9.4,6.7,3.7,28.1,27.4,28.9,5.2,27.3,,COL,592178.0,3B,1.0051531676609449
