Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,14,497,Burnes, Corbin,669203,2022,31.4,6.9,5.5,5.8,23.5,27.1,33.4,4.1,,MIL,669203.0,100
1,6,192,Woodruff, Brandon,605540,2022,29.6,7.2,7.6,7.9,24.2,30.3,23.1,6.1,,MIL,605540.0,93
2,16,561,Ashby, Aaron,676879,2022,27.1,10.0,7.2,4.5,21.9,15.8,44.2,4.9,,MIL,676879.0,84
3,11,319,Peralta, Freddy,642547,2022,26.9,8.8,3.0,7.9,22.0,29.3,31.1,6.7,,MIL,642547.0,85
4,9,301,Lauer, Eric,641778,2022,23.1,8.7,8.5,5.5,26.8,31.0,23.6,4.4,,MIL,641778.0,96
