Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,0,67,Cole, Gerrit,543037,2022,32.0,6.2,7.8,8.4,21.7,25.8,31.1,3.7,,NYY,543037.0,99
1,9,290,Cortes Jr., Nestor,641482,2022,25.9,5.8,6.0,6.6,24.4,36.4,23.5,3.2,,NYY,641482.0,90
2,8,263,Severino, Luis,622663,2022,27.2,7.2,7.1,6.2,21.8,27.1,31.1,5.3,,NYY,622663.0,88
3,2,136,Montgomery, Jordan,656756,2022,21.4,4.6,7.1,3.1,27.2,22.7,36.6,3.3,,NYY,656756.0,84
4,4,143,Montas, Frankie,593423,2022,23.9,6.8,7.7,5.4,24.1,22.4,36.1,3.7,,NYY,593423.0,85

