Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,15,490,Greene, Hunter,668881,2022,28.8,9.3,10.2,7.1,24.4,35.3,19.5,3.4,,CIN,668881.0,92
1,16,491,Ashcraft, Graham,668933,2022,15.8,5.7,4.8,3.2,27.3,16.1,42.4,5.8,,CIN,668933.0,95
2,14,470,Lodolo, Nick,666157,2022,28.2,10.3,7.0,5.1,22.9,22.9,29.3,4.5,,CIN,666157.0,91
3,0,35,Minor, Mike,501985,2022,18.1,7.9,9.5,3.4,21.2,36.0,25.0,4.9,,CIN,501985.0,93
4,10,409,Gutierrez, Vladimir,661269,2022,16.2,13.4,9.2,12.5,20.8,30.0,24.2,3.3,,CIN,661269.0,80
