,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,18,480,Rodriguez, Julio,677594,2022,27.0,6.6,13.5,8.3,18.5,19.8,37.0,2.0,29.7,,SEA,677594.0,OF,1.0935182813014674
1,5,191,Winker, Jesse,608385,2022,18.1,15.1,8.3,2.2,26.0,31.4,28.8,2.9,25.5,,SEA,608385.0,OF,0.9388793324305529
2,2,97,Haniger, Mitch,571745,2022,21.0,6.7,14.0,8.1,25.6,27.9,23.3,1.2,26.6,,SEA,571745.0,OF,0.9793800095157924
3,1,91,Suarez, Eugenio,553993,2022,32.1,12.5,13.7,7.7,19.6,28.1,26.0,4.6,25.7,,SEA,553993.0,SS,0.9462430919005963
4,13,377,France, Ty,664034,2022,15.1,6.2,5.4,4.6,27.4,21.4,36.2,4.0,24.8,,SEA,664034.0,2B,0.9131061742854004
5,8,254,Crawford, J.P.,641487,2022,12.2,9.7,2.1,4.0,24.4,26.0,35.1,7.0,27.0,,SEA,641487.0,SS,0.9941075284558795
6,7,236,Frazier, Adam,624428,2022,11.6,8.0,1.3,4.5,28.8,27.8,33.1,4.3,26.6,,SEA,624428.0,2B,0.9793800095157924
7,12,367,Raleigh, Cal,663728,2022,30.2,8.6,14.3,8.7,16.8,37.8,19.9,2.6,26.8,,SEA,663728.0,C,0.9867437689858359
8,14,381,Haggerty, Sam,664059,2022,26.2,4.6,3.4,2.3,28.7,25.3,32.2,8.0,29.1,,SEA,664059.0,OF,1.0714270028913369
