,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,7,158,La Stella, Tommy,600303,2022,16.4,5.1,2.2,7.2,25.4,31.2,33.3,0.7,24.8,,SF,600303.0,2B,0.9131061742854004
1,14,389,Wade Jr., LaMonte,664774,2022,20.9,11.1,11.9,5.9,15.8,37.6,21.8,6.9,26.3,,SF,664774.0,OF,0.9683343703107271
2,2,51,Flores, Wilmer,527038,2022,16.2,9.3,6.5,5.1,26.5,35.1,24.4,2.4,25.1,,SF,527038.0,2B,0.9241518134904658
3,5,127,Pederson, Joc,592626,2022,21.0,8.9,14.7,5.6,24.2,28.1,22.9,3.9,26.0,,SF,592626.0,OF,0.9572887311056617
4,3,59,Crawford, Brandon,543063,2022,21.4,8.4,7.7,4.3,20.4,28.9,34.5,3.8,25.5,,SF,543063.0,SS,0.9388793324305529
5,11,284,Estrada, Thairo,642731,2022,16.1,5.1,4.1,5.4,25.4,20.3,37.1,7.0,28.1,,SF,642731.0,SS,1.034608205541119
6,4,115,Yastrzemski, Mike,573262,2022,24.2,11.7,10.8,4.8,19.3,33.1,26.0,5.6,27.0,,SF,573262.0,OF,0.9941075284558795
7,0,8,Longoria, Evan,446334,2022,27.3,10.2,14.3,9.8,20.3,24.8,26.3,4.5,25.3,,SF,446334.0,3B,0.9315155729605094
8,13,366,Bart, Joey,663698,2022,37.0,9.3,9.3,5.1,33.1,21.2,22.0,8.5,27.1,,SF,663698.0,DH,0.9977894081909013
