,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,2,206,Newman, Kevin,621028,2022,16.7,5.3,1.7,4.0,28.4,23.9,33.5,7.4,27.8,,PIT,621028.0,SS,1.0235625663360537
1,15,427,Reynolds, Bryan,668804,2022,23.3,9.6,7.3,6.6,23.9,25.2,32.2,4.7,28.2,,PIT,668804.0,OF,1.0382900852761408
2,11,362,Hayes, Ke'Bryan,663647,2022,22.0,8.7,3.9,7.1,25.9,22.0,38.5,1.6,28.0,,PIT,663647.0,3B,1.0309263258060972
3,6,317,Chavis, Michael,656308,2022,29.2,3.8,8.4,5.7,24.2,24.2,28.2,8.8,28.8,,PIT,656308.0,2B,1.0603813636862716
4,1,123,Gamel, Ben,592325,2022,24.1,10.3,6.4,6.4,32.3,23.6,27.3,3.6,27.9,,PIT,592325.0,OF,1.0272444460710755
5,12,403,Cruz, Oneil,665833,2022,38.2,6.6,12.8,2.6,19.7,20.5,41.9,2.6,30.2,,PIT,665833.0,SS,1.1119276799765763
6,16,438,Suwinski, Jack,669261,2022,30.4,9.6,11.6,7.5,17.8,27.4,29.5,6.2,28.7,,PIT,669261.0,OF,1.0566994839512496
7,9,342,Castillo, Diego,660636,2022,27.2,5.1,10.5,8.1,19.8,25.0,34.3,2.3,27.3,,PIT,660636.0,2B,1.0051531676609449
8,0,86,Perez, Roberto,547379,2022,36.2,13.0,11.4,11.4,22.9,17.1,34.3,2.9,24.8,,PIT,547379.0,C,0.9131061742854004
