,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,8,430,Melendez Jr., MJ,669004,2022,25.4,12.7,10.7,7.0,22.3,26.0,30.2,2.9,27.8,,KC,669004.0,C,1.0235625663360537
1,10,483,Witt Jr., Bobby,677951,2022,21.9,4.7,8.9,4.9,24.0,34.9,24.9,2.0,30.4,,KC,677951.0,SS,1.1192914394466198
2,0,50,Perez, Salvador,521692,2022,26.7,3.9,11.2,7.9,20.2,31.8,26.4,2.5,25.1,,KC,521692.0,C,0.9241518134904658
3,12,501,Massey, Michael,686681,2022,22.7,4.5,16.4,6.6,19.7,29.5,23.0,3.3,27.2,,KC,686681.0,2B,1.0014712879259229
4,1,107,Taylor, Michael A.,572191,2022,25.4,8.5,6.0,4.3,23.6,30.9,30.0,4.7,28.8,,KC,572191.0,OF,1.0603813636862716
5,7,422,Pratto, Nick,668472,2022,36.6,10.6,15.6,6.3,18.8,32.8,15.6,10.9,27.2,,KC,668472.0,1B,1.0014712879259229
6,11,500,Pasquantino, Vinnie,686469,2022,13.5,11.0,10.7,7.4,25.5,24.2,30.2,1.3,25.4,,KC,686469.0,1B,0.935197452695531
7,9,450,Lopez, Nicky,670032,2022,14.4,6.1,1.5,2.8,26.3,21.1,39.9,8.4,27.6,,KC,670032.0,SS,1.0161988068660102
8,6,386,Isbel, Kyle,664728,2022,27.1,3.7,5.5,7.6,23.4,24.8,32.4,5.5,28.0,,KC,664728.0,OF,1.0309263258060972
