Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,5,259,Castillo, Luis,622491,2022,27.2,7.6,5.6,5.0,27.4,23.1,34.0,4.6,,SEA,622491.0,103
1,1,128,Ray, Robbie,592662,2022,28.5,8.7,8.3,6.7,22.9,25.3,32.0,4.3,,SEA,592662.0,96
2,13,502,Gilbert, Logan,669302,2022,21.3,6.6,7.2,7.2,27.7,28.4,25.5,3.6,,SEA,669302.0,94
3,14,518,Kirby, George,669923,2022,24.9,3.2,9.0,6.9,22.4,23.4,34.8,3.1,,SEA,669923.0,86
4,2,152,Gonzales, Marco,594835,2022,13.0,7.1,7.1,3.5,26.3,26.5,31.5,4.6,,SEA,594835.0,88
