Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,9,151,deGrom, Jacob,594798,2022,44.7,1.9,5.5,5.5,25.5,30.9,32.7,0.0,,NYM,594798.0,79
1,0,12,Scherzer, Max,453286,2022,30.0,4.6,8.7,3.8,24.0,39.6,18.8,4.2,,NYM,453286.0,97
2,10,168,Bassitt, Chris,605135,2022,22.8,6.1,5.5,5.2,21.6,23.9,36.7,7.1,,NYM,605135.0,98
3,1,21,Carrasco, Carlos,471911,2022,23.4,6.2,7.7,9.0,24.1,18.6,35.6,3.8,,NYM,471911.0,85
4,14,372,Peterson, David,656849,2022,27.3,10.5,7.4,4.3,28.7,17.4,38.3,3.9,,NYM,656849.0,91
