Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,10,401,Ohtani, Shohei,660271,2022,34.0,6.4,7.8,5.8,25.3,27.6,28.2,4.9,,LAA,660271.0,93
0,10,401,Ohtani, Shohei,660271,2022,34.0,6.4,7.8,5.8,25.3,27.6,28.2,4.9,,LAA,660271.0,93
1,13,433,Sandoval, Patrick,663776,2022,24.0,10.0,5.6,3.7,29.0,23.1,34.6,2.8,,LAA,663776.0,92
2,14,535,Detmers, Reid,672282,2022,23.3,9.2,7.9,7.1,23.9,28.6,28.9,3.6,,LAA,672282.0,87
3,12,404,Suarez, Jose,660761,2022,22.5,8.5,9.3,6.5,22.3,27.9,32.1,1.9,,LAA,660761.0,81
4,1,86,Lorenzen, Michael,547179,2022,18.1,9.9,7.4,3.7,23.3,24.2,38.1,3.3,,LAA,547179.0,91
