Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,11,509,Bieber, Shane,669456,2022,25.2,5.3,6.7,6.9,25.9,22.3,34.9,3.1,,CLE,669456.0,92
1,8,425,McKenzie, Triston,663474,2022,24.9,6.5,10.1,7.5,21.2,35.5,22.8,2.8,,CLE,663474.0,92
2,2,227,Quantrill, Cal,615698,2022,15.9,6.4,7.1,6.2,24.0,27.1,30.7,4.4,,CLE,615698.0,93
3,9,486,Plesac, Zach,668676,2022,18.1,6.8,10.1,6.7,24.4,26.2,28.4,4.0,,CLE,668676.0,90
4,3,339,Civale, Aaron,650644,2022,23.4,6.0,8.8,7.8,26.0,26.5,28.4,2.5,,CLE,650644.0,80
