,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,15,498,Greene, Riley,682985,2022,29.3,7.2,9.2,5.2,25.9,14.4,40.8,3.4,27.4,,DET,682985.0,OF,1.0088350473959664
1,7,226,Reyes, Victor,622682,2022,23.2,4.6,4.7,4.7,34.1,20.6,29.4,6.5,27.4,,DET,622682.0,OF,1.0088350473959664
2,3,144,Baez, Javier,595879,2022,24.7,4.6,7.5,3.8,21.7,20.8,42.1,3.1,27.8,,DET,595879.0,SS,1.0235625663360537
3,14,484,Torkelson, Spencer,679529,2022,25.5,9.7,6.8,5.3,24.7,26.3,35.8,0.5,27.7,,DET,679529.0,1B,1.019880686601032
4,0,1,Cabrera, Miguel,408234,2022,24.0,6.5,4.9,3.4,29.7,16.3,42.6,2.3,23.2,,DET,408234.0,1B,0.854196098525052
5,1,93,Schoop, Jonathan,570731,2022,22.1,3.4,4.9,6.7,21.9,22.8,37.4,5.2,27.1,,DET,570731.0,2B,0.9977894081909013
6,6,180,Haase, Eric,606992,2022,28.5,7.7,7.8,9.0,22.3,28.3,25.3,6.6,28.0,,DET,606992.0,C,1.0309263258060972
7,4,159,Candelario, Jeimer,600869,2022,23.9,6.1,8.1,3.9,21.7,28.7,32.2,4.3,27.2,,DET,600869.0,3B,1.0014712879259229
8,9,308,Castro, Willi,650489,2022,20.5,4.0,3.0,4.2,28.8,24.2,33.1,6.4,28.3,,DET,650489.0,SS,1.0419719650111625
