Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,7,217,Marquez, German,608566,2022,19.0,7.9,7.3,7.5,25.4,19.3,36.5,3.9,,COL,608566.0,93
1,8,262,Senzatela, Antonio,622608,2022,13.1,5.6,4.5,6.0,32.4,15.6,36.3,3.9,,COL,622608.0,80
2,5,208,Freeland, Kyle,607536,2022,16.2,7.0,10.3,6.7,25.4,23.2,29.7,4.5,,COL,607536.0,93
3,10,300,Kuhl, Chad,641771,2022,16.6,9.8,8.9,7.4,24.9,28.9,26.6,3.4,,COL,641771.0,88
4,4,161,Gomber, Austin,596295,2022,17.6,7.0,9.3,5.4,25.8,23.5,29.5,5.9,,COL,596295.0,88
