,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,2,71,Semien, Marcus,543760,2022,16.2,7.8,6.4,5.9,22.6,36.2,24.7,4.2,28.9,,TEX,543760.0,SS,1.064063243421293
1,5,190,Seager, Corey,608369,2022,15.2,9.5,10.7,9.7,25.0,24.2,28.1,2.0,26.1,,TEX,608369.0,SS,0.9609706108406836
2,12,375,Lowe, Nathaniel,663993,2022,23.0,6.7,9.5,5.5,30.3,18.4,33.4,2.6,26.8,,TEX,663993.0,1B,0.9867437689858359
3,14,419,Garcia, Adolis,666969,2022,28.4,5.6,11.7,10.9,24.0,20.5,29.9,2.6,28.2,,TEX,666969.0,OF,1.0382900852761408
4,8,261,Garver, Mitch,641598,2022,24.7,10.7,8.8,11.7,21.2,32.1,24.1,2.2,26.3,,TEX,641598.0,C,0.9683343703107271
5,13,402,Taveras, Leody,665750,2022,24.7,6.6,5.2,3.2,28.4,28.4,30.3,3.9,29.7,,TEX,665750.0,OF,1.0935182813014674
6,9,264,Heim, Jonah,641680,2022,19.6,10.2,6.9,6.9,20.4,33.5,28.5,3.1,26.1,,TEX,641680.0,C,0.9609706108406836
7,19,481,Duran, Ezequiel,677649,2022,24.2,5.9,4.6,6.9,17.7,26.9,40.0,3.1,29.2,,TEX,677649.0,3B,1.0751088826263586
8,4,138,Calhoun, Kole,594777,2022,30.2,6.1,10.2,8.9,26.7,25.3,27.1,1.8,25.4,,TEX,594777.0,OF,0.935197452695531
