Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,12,387,Webb, Logan,657277,2022,19.9,6.9,5.5,4.4,24.7,15.2,44.2,5.3,,SF,657277.0,95
1,7,199,Rodon, Carlos,607074,2022,32.1,7.0,6.2,5.1,26.2,31.5,25.4,5.6,,SF,607074.0,97
2,9,253,Wood, Alex,622072,2022,23.6,5.4,7.0,6.2,24.4,20.9,36.9,4.1,,SF,622072.0,86
3,2,39,Cobb, Alex,502171,2022,24.5,7.0,4.1,5.0,23.9,13.5,47.5,4.7,,SF,502171.0,85
4,4,155,Junis, Jakob,596001,2022,21.7,5.0,7.8,4.8,27.8,23.5,31.7,3.9,,SF,596001.0,81
