,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,2,35,Hernandez, Cesar,514917,2022,18.3,6.8,2.3,4.8,25.0,24.5,33.9,8.7,28.1,,WAS,514917.0,2B,1.034608205541119
1,6,198,Meneses, Joey,608841,2022,17.6,4.7,12.1,4.5,21.2,18.2,40.9,3.0,26.0,,WAS,608841.0,1B,0.9572887311056617
2,3,109,Voit III, Luke,572228,2022,32.3,10.5,16.3,7.7,22.3,27.5,21.5,4.7,24.7,,WAS,572228.0,1B,0.9094242945503785
3,0,5,Cruz Jr., Nelson,443558,2022,24.2,9.7,10.0,4.3,25.0,17.0,40.0,2.7,25.5,,WAS,443558.0,DH,0.9388793324305529
4,10,330,Thomas, Lane,657041,2022,24.3,5.8,7.0,5.9,19.8,27.8,33.3,5.1,29.3,,WAS,657041.0,OF,1.0787907623613804
5,13,497,Abrams, CJ,682928,2022,21.0,2.2,3.8,3.8,15.9,28.0,39.4,8.3,29.1,,WAS,682928.0,SS,1.0714270028913369
6,11,345,Ruiz, Keibert,660688,2022,12.3,7.0,3.8,7.0,28.3,25.7,30.8,3.2,25.3,,WAS,660688.0,C,0.9315155729605094
7,12,461,Garcia, Luis,671277,2022,20.4,1.6,7.4,8.9,25.8,13.2,38.9,5.8,27.1,,WAS,671277.0,2B,0.9977894081909013
8,8,296,Robles, Victor,645302,2022,25.2,4.6,3.2,3.6,19.8,27.9,27.9,17.6,28.6,,WAS,645302.0,OF,1.053017604216228
