Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,17,566,Gray, Josiah,680686,2022,26.3,9.9,11.4,6.9,19.2,34.5,21.3,6.0,,WAS,680686.0,94
1,14,493,Gore, MacKenzie,669022,2022,23.3,12.0,9.7,7.7,26.5,23.5,29.6,3.1,,WAS,669022.0,90
2,4,101,Corbin, Patrick,571578,2022,18.5,7.5,10.3,7.5,28.9,18.5,31.5,2.8,,WAS,571578.0,87
3,7,201,Fedde, Erick,607200,2022,17.8,11.2,7.2,4.6,27.6,26.0,30.6,3.9,,WAS,607200.0,91
4,1,40,Espino, Paolo,502179,2022,17.8,4.9,7.7,8.4,24.2,28.6,26.6,4.4,,WAS,502179.0,78
