,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,0,25,Rojas, Miguel,500743,2022,11.8,5.5,2.1,6.2,26.5,24.8,36.3,4.1,26.4,,MIA,500743.0,SS,0.9720162500457488
1,16,404,Chisholm Jr., Jazz,665862,2022,27.4,8.7,16.7,4.7,25.3,23.3,26.7,2.7,29.2,,MIA,665862.0,SS,1.0751088826263586
2,2,57,Aguilar, Jesus,542583,2022,23.2,5.9,7.3,8.3,25.5,29.9,26.1,2.5,23.9,,MIA,542583.0,1B,0.8799692566702043
3,9,240,Soler, Jorge,624585,2022,29.4,10.1,12.2,6.6,22.1,27.6,27.6,3.3,26.9,,MIA,624585.0,OF,0.9904256487208576
4,11,287,Cooper, Garrett,643265,2022,25.6,8.5,10.0,8.4,26.4,18.4,30.5,5.9,26.2,,MIA,643265.0,OF,0.9646524905757052
5,14,349,Sanchez, Jesus,660821,2022,26.5,7.4,9.4,3.3,20.3,26.4,35.4,5.2,27.2,,MIA,660821.0,OF,1.0014712879259229
6,8,219,Wendle, Joey,621563,2022,12.7,4.2,0.9,5.6,23.4,22.1,44.2,3.5,27.2,,MIA,621563.0,SS,1.0014712879259229
7,1,52,Garcia, Avisail,541645,2022,27.8,3.8,6.5,8.3,20.0,17.0,42.2,5.7,28.2,,MIA,541645.0,OF,1.0382900852761408
8,6,163,Anderson, Brian,605119,2022,29.3,11.3,10.1,4.0,25.5,20.1,33.6,6.0,27.6,,MIA,605119.0,3B,1.0161988068660102
