Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,17,394,Ryan, Joe,657746,2022,24.2,7.3,9.3,8.3,21.8,37.8,17.9,4.8,,MIN,657746.0,88
1,3,72,Gray, Sonny,543243,2022,24.2,7.8,5.9,7.3,24.5,24.9,32.2,5.1,,MIN,543243.0,80
2,12,303,Mahle, Tyler,641816,2022,25.6,8.7,7.5,7.8,21.2,31.8,27.7,4.0,,MIN,641816.0,94
2,12,303,Mahle, Tyler,641816,2022,25.6,8.7,7.5,7.8,21.2,31.8,27.7,4.0,,MIN,641816.0,97
2,12,303,Mahle, Tyler,641816,2022,25.6,8.7,7.5,7.8,21.2,31.8,27.7,4.0,,MIN,641816.0,70
3,7,171,Bundy, Dylan,605164,2022,17.0,5.1,8.5,7.7,20.2,31.9,27.4,4.0,,MIN,605164.0,75
4,1,36,Archer, Chris,502042,2022,19.9,11.0,8.6,7.5,25.9,25.6,28.6,3.0,,MIN,502042.0,73
