Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,4,93,Wheeler, Zack,554430,2022,26.7,5.9,7.9,5.4,23.2,22.1,32.4,8.4,,PHI,554430.0,94
1,6,183,Nola, Aaron,605400,2022,28.5,3.4,7.1,6.7,22.5,26.4,31.3,5.5,,PHI,605400.0,97
2,0,37,Gibson, Kyle,502043,2022,19.7,6.6,6.0,6.0,26.1,24.2,32.5,5.0,,PHI,502043.0,90
3,11,273,Suarez, Ranger,624133,2022,20.2,8.9,6.4,2.8,22.7,19.0,43.1,5.0,,PHI,624133.0,90
4,5,135,Syndergaard, Noah,592789,2022,17.5,5.9,7.5,6.0,25.5,24.3,32.1,4.2,,PHI,592789.0,84
