,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,14,487,Kwan, Steven,680757,2022,9.5,9.9,1.1,2.7,28.2,28.5,34.3,4.5,28.5,,CLE,680757.0,OF,1.049335724481206
1,6,281,Rosario, Amed,642708,2022,15.6,4.4,4.4,5.8,22.6,18.7,43.6,4.6,29.5,,CLE,642708.0,SS,1.086154521831424
2,3,186,Ramirez, Jose,608070,2022,10.3,9.6,6.7,7.0,22.7,38.1,21.0,4.6,28.5,,CLE,608070.0,3B,1.049335724481206
3,7,300,Naylor, Josh,647304,2022,15.4,6.9,8.9,5.4,21.8,24.3,33.9,5.0,25.0,,CLE,647304.0,OF,0.920469933755444
4,10,405,Gimenez, Andres,665926,2022,20.4,5.5,7.5,6.5,26.6,21.5,29.7,8.2,29.3,,CLE,665926.0,SS,1.0787907623613804
5,8,347,Gonzalez, Oscar,660757,2022,21.9,3.7,7.4,6.2,29.0,19.1,32.1,5.6,28.9,,CLE,660757.0,OF,1.064063243421293
6,15,491,Miller, Owen,680911,2022,19.7,6.3,3.5,5.6,24.5,27.3,33.2,5.6,29.0,,CLE,680911.0,2B,1.067745123156315
7,2,145,Hedges, Austin,595978,2022,22.4,7.8,3.5,3.5,21.4,32.4,28.3,10.4,24.5,,CLE,595978.0,C,0.9020605350803351
8,9,385,Straw, Myles,664702,2022,14.6,9.3,0.6,4.7,24.2,28.9,37.2,3.9,29.4,,CLE,664702.0,OF,1.082472642096402
