,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,4,106,Pollock, AJ,572041,2022,19.4,6.0,9.2,6.5,22.8,23.1,32.7,5.4,27.7,,CHW,572041.0,LF,1.019880686601032
1,14,468,Robert, Luis,673357,2022,18.3,4.5,9.3,4.8,28.0,20.8,33.6,3.5,27.9,,CHW,673357.0,CF,1.0272444460710755
2,6,250,Anderson, Tim,641313,2022,15.7,4.0,5.8,5.4,31.8,10.8,41.5,4.0,28.3,,CHW,641313.0,SS,1.0419719650111625
3,3,87,Abreu, Jose,547989,2022,16.2,10.0,9.4,7.4,27.0,19.8,33.1,2.8,26.0,,CHW,547989.0,1B,0.9572887311056617
4,8,306,Jimenez, Eloy,650391,2022,20.7,9.4,14.3,5.0,23.6,15.7,39.3,2.1,26.0,,CHW,650391.0,DH,0.9572887311056617
5,10,338,Moncada, Yoan,660162,2022,27.2,8.3,8.2,6.3,22.2,28.5,32.4,1.4,27.5,,CHW,660162.0,3B,1.0125169271309884
6,15,499,Vaughn, Andrew,683734,2022,16.1,5.5,7.5,9.6,23.8,18.4,35.8,3.3,26.1,,CHW,683734.0,RF,0.9609706108406836
7,0,42,Grandal, Yasmani,518735,2022,21.0,12.4,5.2,6.3,24.1,24.6,37.7,2.1,22.1,,CHW,518735.0,C,0.8136954214398125
8,1,63,Harrison, Josh,543281,2022,16.1,5.3,3.9,4.7,25.7,30.0,32.7,3.1,27.1,,CHW,543281.0,2B,0.9977894081909013
