Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,3,125,Gray, Jon,592351,2022,27.1,7.9,6.6,4.0,25.9,25.9,33.6,4.0,,TEX,592351.0,89
1,1,60,Perez, Martin,527048,2022,21.8,7.8,3.8,5.2,25.1,22.3,38.4,4.5,,TEX,527048.0,93
2,7,292,Dunning, Dane,641540,2022,20.0,8.9,8.0,5.7,22.3,17.4,39.6,7.0,,TEX,641540.0,87
3,12,384,Otto Jr., Glenn,657248,2022,16.9,12.4,8.7,6.0,20.5,23.8,36.2,4.4,,TEX,657248.0,84
4,5,248,Hearn, Taylor,621368,2022,22.0,10.1,10.2,5.5,28.0,26.0,25.6,4.3,,TEX,621368.0,82
