,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,0,72,Springer III, George,543807,2022,18.1,9.4,8.0,7.0,23.3,24.9,32.2,4.3,28.4,,TOR,543807.0,OF,1.0456538447461843
1,11,413,Bichette, Bo,666182,2022,25.1,5.6,9.4,7.3,26.1,20.4,33.6,2.4,27.5,,TOR,666182.0,SS,1.0125169271309884
2,10,399,Guerrero Jr., Vladimir,665489,2022,16.3,8.7,12.0,7.0,22.5,15.3,39.8,2.5,26.7,,TOR,665489.0,1B,0.9830618892508141
3,12,420,Gurriel Jr., Lourdes,666971,2022,16.4,6.3,4.0,8.9,30.7,22.4,31.3,2.6,27.2,,TOR,666971.0,OF,1.0014712879259229
4,9,316,Chapman, Matt,656305,2022,28.1,9.4,14.3,8.7,25.1,29.3,19.5,2.8,28.2,,TOR,656305.0,3B,1.0382900852761408
5,4,177,Hernandez, Teoscar,606192,2022,28.9,6.4,13.8,7.3,23.5,21.9,31.2,2.3,28.5,,TOR,606192.0,OF,1.049335724481206
6,14,464,Kirk, Alejandro,672386,2022,10.6,11.3,7.4,6.1,27.3,20.6,35.6,2.8,24.3,,TOR,672386.0,C,0.8946967756102916
7,1,133,Merrifield, Whit,593160,2022,15.0,7.4,3.8,7.4,23.7,30.2,30.0,4.6,28.6,,TOR,593160.0,2B,1.053017604216228
8,13,439,Espinal, Santiago,669289,2022,15.0,6.9,3.8,3.6,26.9,26.3,33.7,5.6,27.0,,TOR,669289.0,3B,0.9941075284558795
