,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,12,469,Kim, Ha-Seong,673490,2022,17.4,9.2,4.6,4.9,25.3,28.1,30.6,5.9,28.3,,SD,673490.0,SS,1.0419719650111625
1,11,401,Soto, Juan,665742,2022,14.0,20.7,12.5,7.7,18.5,21.7,35.1,4.5,26.5,,SD,665742.0,OF,0.9756981297807706
2,4,125,Machado, Manny,592518,2022,19.7,10.1,9.4,10.2,24.1,24.7,28.4,3.1,26.3,,SD,592518.0,3B,0.9683343703107271
3,7,165,Bell, Josh,605137,2022,14.7,11.9,7.9,3.1,29.1,19.6,37.2,2.9,26.1,,SD,605137.0,1B,0.9609706108406836
4,3,122,Drury, Brandon,592273,2022,22.0,7.0,10.6,5.4,23.3,26.6,28.7,4.8,26.9,,SD,592273.0,DH,0.9904256487208576
5,10,369,Grisham, Trent,663757,2022,25.9,11.6,8.2,5.4,17.5,27.1,30.0,11.4,28.8,,SD,663757.0,OF,1.0603813636862716
6,9,245,Cronenworth, Jake,630105,2022,19.6,10.8,6.1,7.2,19.0,38.8,24.2,4.4,28.2,,SD,630105.0,SS,1.0382900852761408
7,6,143,Profar, Jurickson,595777,2022,15.2,12.2,4.0,4.2,28.6,27.6,30.8,4.2,26.5,,SD,595777.0,OF,0.9756981297807706
8,0,69,Nola, Austin,543592,2022,15.9,9.4,2.1,7.3,31.2,25.2,32.9,1.3,26.6,,SD,543592.0,C,0.9793800095157924
