Unnamed: 0,level_0,index,last_name, first_name,player_id,year,p_k_percent,p_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,Unnamed: 12,TEAM,MLBID,TP
0,2,44,Darvish, Yu,506433,2022,24.6,4.7,8.1,6.0,23.0,28.4,29.8,4.4,,SD,506433.0,99
1,5,182,Musgrove, Joe,605397,2022,23.9,5.0,5.8,6.0,22.5,23.5,35.0,6.5,,SD,605397.0,96
2,9,282,Manaea, Sean,640455,2022,24.0,8.2,9.1,5.6,23.7,28.0,29.3,4.0,,SD,640455.0,88
3,6,186,Snell, Blake,605483,2022,30.9,10.1,6.3,6.3,30.3,30.3,24.0,2.7,,SD,605483.0,96
4,4,173,Clevinger, Mike,605182,2022,20.8,7.7,8.1,5.5,22.9,34.7,22.9,5.1,,SD,605182.0,88
